"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt0443680","Sun Aug 26 15:14:50 2012","Sun Aug 26 15:14:50 2012","","The Assassination of Jesse James by the Coward Robert Ford","Feature Film","Andrew Dominik","7","7.5","160","2007","biography, crime, drama, history, western","136229","2007-09-02","http://www.imdb.com/title/tt0443680/"
"2","tt0217505","Sun Aug 26 15:15:17 2012","Sun Aug 26 15:15:17 2012","","Gangs of New York","Feature Film","Martin Scorsese","8","7.5","167","2002","crime, drama","314342","2002-12-09","http://www.imdb.com/title/tt0217505/"
"3","tt0433383","Sun Aug 26 15:15:26 2012","Sun Aug 26 15:15:26 2012","","Good Night, and Good Luck.","Feature Film","George Clooney","7","7.5","93","2005","biography, drama, history","84127","2005-09-01","http://www.imdb.com/title/tt0433383/"
"4","tt0498380","Sun Aug 26 15:15:34 2012","Sun Aug 26 15:15:34 2012","","Letters from Iwo Jima","Feature Film","Clint Eastwood","8","7.9","141","2006","drama, history, war","132248","2006-11-15","http://www.imdb.com/title/tt0498380/"
"5","tt0870111","Sun Aug 26 15:15:38 2012","Sun Aug 26 15:15:38 2012","","Frost/Nixon","Feature Film","Ron Howard","8","7.7","122","2008","drama","88719","2008-10-15","http://www.imdb.com/title/tt0870111/"
"6","tt1504320","Sun Aug 26 15:15:44 2012","Sun Aug 26 15:15:44 2012","","The King's Speech","Feature Film","Tom Hooper","7","8.0","118","2010","biography, drama, history, romance","504229","2010-09-06","http://www.imdb.com/title/tt1504320/"
"7","tt0080339","Sun Aug 26 15:15:48 2012","Sun Aug 26 15:15:48 2012","","Airplane!","Feature Film","Jim Abrahams, David Zucker","8","7.8","88","1980","comedy","160428","1980-07-02","http://www.imdb.com/title/tt0080339/"
"8","tt0213149","Sun Aug 26 15:16:00 2012","Sun Aug 26 15:16:00 2012","","Pearl Harbor","Feature Film","Michael Bay","7","6.1","183","2001","action, drama, history, romance, war","254346","2001-05-21","http://www.imdb.com/title/tt0213149/"
"9","tt1010048","Sun Aug 26 15:16:19 2012","Sun Aug 26 15:16:19 2012","","Slumdog Millionaire","Feature Film","Danny Boyle, Loveleen Tandan","8","8.0","120","2008","drama, romance","642573","2008-08-30","http://www.imdb.com/title/tt1010048/"
"10","tt0109830","Sun Aug 26 15:16:30 2012","Sun Aug 26 15:16:30 2012","","Forrest Gump","Feature Film","Robert Zemeckis","9","8.8","142","1994","comedy, drama","1252891","1994-06-23","http://www.imdb.com/title/tt0109830/"
